UNICODE;NAME;DESCRIPTION;THAI;KEYCODES
\u1A20;TAI THAM LETTER HIGH KA;;ก;100
\u1A21;TAI THAM LETTER HIGH KHA;;ข;45
\u1A22;TAI THAM LETTER HIGH KXA;;ฃ;92
\u1A23;TAI THAM LETTER LOW KA;;ค;56
\u1A24;TAI THAM LETTER LOW KXA;;ฅ;124
\u1A25;TAI THAM LETTER LOW KHA;;ฆ;83
\u1A26;TAI THAM LETTER NGA;;ง;39
\u1A27;TAI THAM LETTER HIGH CA;;จ;48
\u1A28;TAI THAM LETTER HIGH CHA;;ฉ;67
\u1A29;TAI THAM LETTER LOW CA;;ช;61
\u1A2A;TAI THAM LETTER LOW SA;;ซ;58
\u1A2B;TAI THAM LETTER LOW CHA;;ฌ;71
\u1A2C;TAI THAM LETTER NYA;;ญ;80
\u1A2D;TAI THAM LETTER RATA;;ฏ;68
\u1A2E;TAI THAM LETTER HIGH RATHA;an alternative glyph with the upper part shaped like 1A33 is used in Thailand and Laos, contrast the sequence 1A2D 1A5B;ฐ;123
\u1A2F;TAI THAM LETTER DA;;ด;102
\u1A30;TAI THAM LETTER LOW RATHA;;ฒ;60
\u1A31;TAI THAM LETTER RANA;;ณ;73
\u1A32;TAI THAM LETTER HIGH TA;;ต;57
\u1A33;TAI THAM LETTER HIGH THA;;ถ;53
\u1A34;TAI THAM LETTER LOW TA;;ท;109
\u1A35;TAI THAM LETTER LOW THA;;ธ;84
\u1A36;TAI THAM LETTER NA;;น;111
\u1A37;TAI THAM LETTER BA;;บ;91
\u1A38;TAI THAM LETTER HIGH PA;;ป;120
\u1A39;TAI THAM LETTER HIGH PHA;;ผ;122
\u1A3A;TAI THAM LETTER HIGH FA;;ฝ;47
\u1A3B;TAI THAM LETTER LOW PA;;พ;114
\u1A3C;TAI THAM LETTER LOW FA;;ฟ;97
\u1A3D;TAI THAM LETTER LOW PHA;;ภ;52
\u1A3E;TAI THAM LETTER MA;;ม;44
\u1A3F;TAI THAM LETTER LOW YA;;ย;112
\u1A40;TAI THAM LETTER HIGH YA;;อย;a(112,112)
\u1A41;TAI THAM LETTER RA;;ร;105
\u1A42;TAI THAM LETTER RUE;;ฤ;65
\u1A43;TAI THAM LETTER LA;;ล;93
\u1A44;TAI THAM LETTER LUE;;ฦ;63
\u1A45;TAI THAM LETTER WA;;ว;59
\u1A46;TAI THAM LETTER HIGH SHA;;ศ;76
\u1A47;TAI THAM LETTER HIGH SSA;;ษ;75
\u1A48;TAI THAM LETTER HIGH SA;;ส;108
\u1A49;TAI THAM LETTER HIGH HA;;ห;115
\u1A4A;TAI THAM LETTER LLA;;ฬ;62
\u1A4B;TAI THAM LETTER A;indicates a glottal consonant;อ;118
\u1A4C;TAI THAM LETTER LOW HA;;ฮ;86
\u1A4D;TAI THAM LETTER I;;อิ;a(98,98)
\u1A4E;TAI THAM LETTER II;;อี;a(117,117)
\u1A4F;TAI THAM LETTER U;;อุ;a(54,54)
\u1A50;TAI THAM LETTER UU;;อู;a(94,94)
\u1A51;TAI THAM LETTER EE;;เอ;a(103,103)
\u1A52;TAI THAM LETTER OO;;โอ;a(70,70)
\u1A53;TAI THAM LETTER LAE;;แล;a(93,93)
\u1A54;TAI THAM LETTER GREAT SA;;สฺส;a(108,108)
\u1A55;TAI THAM CONSONANT SIGN MEDIAL RA;;~ร;
\u1A56;TAI THAM CONSONANT SIGN MEDIAL LA;;~ล;
\u1A57;TAI THAM CONSONANT SIGN LA TANG LAI;;;
\u1A58;TAI THAM SIGN MAI KANG LAI;;;a(39,39)
\u1A59;TAI THAM CONSONANT SIGN FINAL NGA;;;
\u1A5A;TAI THAM CONSONANT SIGN LOW PA;;;
\u1A5B;TAI THAM CONSONANT SIGN HIGH RATHA OR LOW PA;;;
\u1A5C;TAI THAM CONSONANT SIGN MA;;;
\u1A5D;TAI THAM CONSONANT SIGN BA;;;
\u1A5E;TAI THAM CONSONANT SIGN SA;;;
\u1A60;TAI THAM SIGN SAKOT;;;a(98)
\u1A61;TAI THAM VOWEL SIGN A;;ะ;116
\u1A62;TAI THAM VOWEL SIGN MAI SAT;;~ั;121
\u1A63;TAI THAM VOWEL SIGN AA;;า;107
\u1A64;TAI THAM VOWEL SIGN TALL AA;;ๅ;49
\u1A65;TAI THAM VOWEL SIGN I;;~ิ;98
\u1A66;TAI THAM VOWEL SIGN II;;~ี;117
\u1A67;TAI THAM VOWEL SIGN UE;;~ึ;55
\u1A68;TAI THAM VOWEL SIGN UUE;;~ื;110
\u1A69;TAI THAM VOWEL SIGN U;;~ุ;54
\u1A6A;TAI THAM VOWEL SIGN UU;;~ู;94
\u1A6B;TAI THAM VOWEL SIGN O;;;a(70)
\u1A6C;TAI THAM VOWEL SIGN OA BELOW;;~อ;a(118)
\u1A6D;TAI THAM VOWEL SIGN OY;;~ย;a(118,112)
\u1A6E;TAI THAM VOWEL SIGN E;;เ~;103
\u1A6F;TAI THAM VOWEL SIGN AE;;แ~;99
\u1A70;TAI THAM VOWEL SIGN OO;;โ~;70
\u1A71;TAI THAM VOWEL SIGN AI;;ไ~;119
\u1A72;TAI THAM VOWEL SIGN THAM AI;;ใ~;46
\u1A73;TAI THAM VOWEL SIGN OA ABOVE;;~อ;a(118,118,118)
\u1A74;TAI THAM SIGN MAI KANG;;~ํ;89
\u1A75;TAI THAM SIGN TONE-1;;~่;106
\u1A76;TAI THAM SIGN TONE-2;;~้;104
\u1A77;TAI THAM SIGN KHUEN TONE-3;;;
\u1A78;TAI THAM SIGN KHUEN TONE-4;;;
\u1A79;TAI THAM SIGN KHUEN TONE-5;;;
\u1A7A;TAI THAM SIGN RA HAAM;indicates following character(s) are not sounded;~์;78
\u1A7B;TAI THAM SIGN MAI SAM;;;
\u1A7C;TAI THAM SIGN KHUEN-LUE KARAN;;;
\u1A7F;TAI THAM COMBINING CRYPTOGRAMMIC DOT;;~ฺ;66
\u1A80;TAI THAM HORA DIGIT ZERO;;0;81
\u1A81;TAI THAM HORA DIGIT ONE;;1;64
\u1A82;TAI THAM HORA DIGIT TWO;;2;35
\u1A83;TAI THAM HORA DIGIT THREE;;3;36
\u1A84;TAI THAM HORA DIGIT FOUR;;4;37
\u1A85;TAI THAM HORA DIGIT FIVE;;5;42
\u1A86;TAI THAM HORA DIGIT SIX;;6;40
